student_id,subject,exam_score,homework_completion_%,teacher_comments
s08095,science,77,0%,statement today tree whole though study over nor.
s10176,history,100,90%,professional material air girl property cup audience set very magazine.
s02625,history,80,0%,kind day save less old next most situation.
s07599,history,50,0%,live size item class onto lawyer newspaper little growth.
s04083,math,42,90%,management government door old a right month think evidence appear writer.
s04420,math,65,95%,star often think yard organization service record wait wrong unit building consumer.
s07673,geography,69,95%,address use media bit run example capital cup.
s01699,geography,46,90%,study season develop audience partner man vote.
s09971,history,95,80%,point cell mother recent factor almost feeling space remain.
s01654,english,74,95%,animal some technology other whether itself report worry.
s12142,geography,75,80%,minute provide discover laugh myself see investment least.
s01174,arabic,100,100%,she job remain successful whom phone miss watch middle.
s02570,arabic,86,95%,end candidate fight consider firm building professor reach thank prevent health according ok.
s10871,history,62,80%,No comment
s09149,science,100,95%,live pm practice society join inside create however friend.
s10385,science,88,100%,beautiful these future perhaps thing such may strong cultural law interest beautiful.
s06067,geography,100,100%,huge threat get page imagine phone enter start authority control.
s00166,geography,45,95%,camera see sound care treat season so small.
s08079,english,57,0%,artist computer customer total find lose east area big entire chair language.
s03531,math,46,95%,happen recognize everybody born why reason little think beautiful west.
s07156,geography,44,90%,No comment
s05943,arabic,46,80%,animal ever effect information agree week tough rock trip school.
s08219,science,100,95%,city fire blood continue american piece yeah.
s01804,english,96,95%,any thus teacher board throughout bill certain long pick.
s08820,science,81,0%,store discuss newspaper value name create believe later.
s09894,geography,53,100%,whether tree sing hour everyone relationship series star party television.
s11708,math,81,90%,heavy clearly your fight memory country.
s01896,geography,48,95%,record public past alone second yard service remain.
s11474,history,100,90%,laugh tend boy weight approach or operation different fly system.
s07468,geography,61,95%,seven reality number month southern focus similar land white plan.
s08181,arabic,83,100%,final room big although after remember policy floor move audience enough.
s07183,geography,100,80%,No comment
s11467,arabic,82,100%,yard toward let offer well republican research off anyone republican student important.
s07706,science,100,90%,certainly not rock member whether subject hour list.
s08014,english,69,90%,simply trouble stay that blood girl past live career side.
s08834,english,100,100%,politics soldier current investment easy show already receive kitchen maintain would society.
s00340,geography,58,80%,first spring old court claim tell himself.
s03411,arabic,82,90%,avoid situation without paper member fact say daughter simple commercial check build drive.
s10876,science,58,0%,each rate do go hair small.
s00709,science,75,80%,No comment
s04576,science,94,90%,No comment
s10824,arabic,72,0%,dinner seek hundred after choose picture under in education company.
s07621,english,74,90%,approach door lawyer expert maybe pm risk whether relate stage evening material should.
s10317,history,80,80%,will feeling decision pass and pull join.
s10852,english,100,100%,space scene pick leg watch board no rate even those issue republican.
s07300,arabic,100,80%,share attorney weight plant allow clear assume off.
s01325,science,96,100%,unit close act describe factor mention.
s06678,history,43,100%,million item piece hear can history rich clearly edge already meet bank camera.
s02910,math,68,0%,movement yourself around animal newspaper begin age parent spend.
s00134,math,53,0%,tv put seem do away point off officer enter standard nearly book.
s00259,english,48,0%,other customer weight country quickly along best foreign sure lose.
s09407,science,53,90%,run former thus alone not center reflect child push certain spend bill.
s07201,science,45,80%,budget oil republican serious still down decision close individual near.
s00544,science,56,100%,present provide no camera son allow pull middle news.
s07738,math,46,80%,really decide set sit perhaps them lead east world purpose.
s03802,math,100,0%,down affect maybe media minute hot describe site room management growth believe.
s01460,science,46,90%,require my treat behind pressure game human west anyone through street.
s07797,science,52,90%,population statement national couple or through buy she plan most many office.
s10972,history,100,95%,case defense camera concern floor large mouth sound choose similar purpose one.
s01220,english,88,95%,around possible girl statement may subject doctor charge get meet skin.
s08725,history,50,0%,chance ability off newspaper where interest land take central woman look must whom.
s06814,history,61,100%,admit rest able baby everyone direction blood capital star thank democratic thank group.
s10980,english,97,90%,either employee mind rate street plan.
s07207,history,56,80%,past beyond song cover owner raise.
s08543,geography,91,100%,maintain subject other do protect their.
s02245,science,95,95%,someone general responsibility amount time specific tend section really remember.
s00723,math,80,95%,be material level want trade suggest by.
s11611,science,97,0%,fund security manage politics help sport several paper true yes.
s05306,english,49,100%,alone ground build walk leave pass respond record american source involve boy speech.
s04186,english,83,0%,No comment
s00047,math,88,0%,development he may else music win above cultural hand night hot situation main.
s04302,math,93,90%,sense senior without section live risk.
s10040,arabic,100,80%,north factor series market five positive wear.
s04112,english,100,95%,again coach evening security agreement kid inside congress should total.
s11162,science,93,90%,third customer care serious plan certain role result yet show use science.
s05954,history,76,90%,campaign behavior great area structure finally support matter industry former.
s10807,science,66,90%,bed return number reveal value claim apply tonight society include hot.
s01961,english,58,95%,yourself up away standard record him exist school mrs safe imagine.
s03783,science,50,90%,view tell already position board party near figure discussion news doctor its hour.
s09156,english,91,90%,continue drug factor add she against production.
s11382,arabic,82,80%,need capital today state democrat level other answer language science system participant prove low.
s01359,arabic,54,95%,individual billion learn power oil majority moment congress.
s11885,geography,43,100%,No comment
s07017,arabic,82,100%,prevent day available argue power among central enter style.
s07877,geography,72,90%,final glass guess shake many hour fly management former mind.
s05427,science,97,0%,fast sister time material board voice break green guy purpose respond sea.
s06302,history,78,0%,trip five might power develop standard left somebody.
s10484,english,92,95%,american risk put walk detail senior.
s04622,math,100,90%,never idea investment history friend seem difference ball only investment.
s11174,geography,81,95%,head hundred offer kid listen fly spend another surface part long tough consumer.
s02289,arabic,100,80%,staff than age especially less step space traditional material goal paper.
s04035,history,46,0%,No comment
s00813,english,95,90%,black others anything character recent score hold.
s04124,arabic,66,90%,west threat treatment administration guy fire western magazine east fund marriage sense authority.
s06050,geography,58,80%,report result lose information mother establish up tax weight somebody which throw road.
s07359,history,54,100%,unit avoid now alone eye off attorney all.
s11141,english,69,95%,office challenge order sort environment model market remain might fast.
s04040,science,76,0%,mind reason concern necessary specific study sister particularly training read someone body fall.
s06330,arabic,59,100%,No comment
s02510,geography,64,80%,condition consider summer thought top scientist performance recognize sound field movement.
s02771,english,75,95%,No comment
s06484,history,80,90%,ask soldier serve fall act now last decide well risk.
s08355,english,45,90%,good various beautiful blood explain over section power show.
s03874,english,66,90%,let experience pick off bank up start him growth speech always some.
s08276,history,62,0%,nation travel value before build rich shake investment change nothing study past despite.
s09163,english,90,80%,No comment
s05078,math,82,80%,treat question likely million detail begin writer draw institution use citizen would.
s11685,arabic,93,100%,blood dog when name draw key will coach.
s06888,arabic,49,95%,top property team beat drive sell natural increase.
s04535,history,95,95%,describe work need somebody far sign stop recently continue strong or.
s11570,arabic,100,90%,finish agent foot institution hear president argue.
s02341,science,55,100%,behind such station pattern call lot job physical use likely rate else partner.
s05973,history,100,0%,them chair either force small low read wife loss how story sing deal.
s04999,math,42,100%,join could remember away focus than method machine national art.
s06380,arabic,78,95%,toward after network admit board society life human fight.
s00766,history,73,80%,even way about office production war interest top response start manage table.
s05895,geography,58,80%,her offer central care gun team southern yourself carry floor.
s03321,science,100,95%,identify ability investment protect lead great character kitchen less bar.
s11444,science,59,0%,language certainly three oil money agent turn side most painting general.
s05216,arabic,46,100%,night run key manage simple leader glass example thing represent although social event.
s11385,science,49,0%,No comment
s07434,history,92,100%,find act than all billion third writer yet cost hand federal with film.
s00965,science,95,80%,modern green onto field democratic what push quality even tax guess.
s00528,arabic,100,100%,agent kind whole option over around trial important big mrs american.
s00547,arabic,63,95%,war create trouble pretty force under respond call firm.
s01819,history,44,90%,No comment
s00968,english,70,90%,certain light beyond population big stop challenge.
s10354,geography,100,0%,his military five across smile politics officer believe week difficult middle question toward third.
s02452,geography,89,100%,question sit view toward argue partner herself building plan field must support think.
s02516,science,43,100%,probably learn pattern charge what machine account community determine rule develop.
s08766,arabic,76,0%,No comment
s01259,geography,78,80%,human thought discuss movie list possible.
s07574,math,95,0%,party really list general ahead crime wife end scene institution of management.
s03921,math,46,100%,thing near like per right leave memory half.
s11759,math,73,100%,letter decade hot gas nothing compare.
s05119,math,64,90%,food measure ok station statement add just let.
s01706,english,100,80%,food play go food full firm former player.
s05021,english,99,95%,power suggest artist audience respond various try list total save rule.
s09265,geography,93,80%,capital politics present may new card board history director move.
s03471,arabic,66,80%,guy challenge member soldier continue have.
s06708,history,45,80%,beyond expert agreement look glass meeting simple red meet before.
s05380,arabic,82,90%,eye nation moment perform produce i painting court indicate statement letter admit.
s02942,science,88,90%,after player nice environmental tell goal threat visit national listen recent serious act.
s00855,math,66,0%,learn way i drop buy design throughout beat.
s05552,math,100,80%,respond already through enjoy specific condition foot.
s00812,english,49,80%,figure red history ask election rich late improve effect test box capital.
s12036,math,100,90%,No comment
s09713,science,67,90%,tell really over along part dog letter network food civil sing difficult else.
s01956,arabic,75,90%,water course since task beautiful art crime.
s01343,history,68,100%,officer or rest half happen four fight friend stuff language civil.
s11213,math,86,95%,million bag matter before try her many first back concern debate former girl.
s02393,science,81,95%,account kind black american experience worry professional story east.
s09967,arabic,100,100%,lawyer song suggest moment once technology why.
s06148,english,85,0%,back recognize argue them indicate walk board break read answer task us.
s10559,science,59,95%,artist job price field box charge follow amount often only.
s05474,geography,68,95%,surface shoulder enjoy clear field would.
s10694,science,97,90%,machine apply tonight my system mind radio throughout need.
s06511,history,72,90%,move sister really common rock leader man sense economy.
s02160,arabic,45,80%,across management personal stop democrat answer all air choice set how ground star.
s10721,arabic,60,80%,mrs market right human something building world.
s05759,geography,98,0%,pass pressure break eight sell letter character firm forward possible crime part tree.
s07225,history,71,100%,son partner relationship perhaps item green expect hold church list economy run nice.
s04241,science,63,80%,wall interview travel these simply exist remember.
s04217,math,72,100%,beat your score building sense building you shoulder choose.
s04682,arabic,69,95%,nice expert very list bill green long bill.
s09041,science,66,95%,good edge citizen democrat design discussion.
s09961,science,46,95%,sell cost put lay natural foreign college.
s04353,arabic,41,0%,card for understand land him their identify.
s11997,science,51,95%,discuss feeling simple tv coach system record role spend camera artist reveal heavy my.
s03176,science,85,90%,next control follow huge conference within itself.
s10032,history,73,90%,yourself most him chance rather back world bar guess.
s00926,history,70,80%,system skill soldier among reason speak may member show support government.
s04012,history,65,0%,technology increase very increase data paper unit common light imagine first.
s07722,math,68,100%,eat wish difficult wear i low ask election.
s00758,history,66,95%,No comment
s10666,math,82,0%,else suddenly say training clear effect lot anything college yet out.
s03596,science,42,95%,start be total them else address perhaps bed full.
s03322,geography,100,100%,case player nothing read american view small general tax around.
s00286,english,100,90%,among always sea always whether it home lot simple mention.
s01132,science,100,0%,rather win air real off street country goal across page before early.
s06532,arabic,70,95%,above particular beautiful education group require area environmental sea know spring.
s09809,math,98,90%,special trip drop score now network me film response foot amount commercial.
s07842,math,67,80%,act ball church resource tell among eat.
s00948,history,52,90%,growth difficult assume attorney remember type know available tend.
s00625,arabic,49,0%,order dog one individual operation always.
s08679,math,88,90%,arrive whole majority me generation past light yes fund.
s09136,geography,88,100%,perhaps until expert above good those republican simply former.
s03898,science,54,0%,moment entire popular later level seek radio fish enough simple.
s02790,geography,44,80%,now often after movie case find serve among nature easy imagine.
s07639,english,81,90%,eye important north visit moment everyone price itself close.
s06514,math,84,100%,yes what itself number including leg himself.
s12059,arabic,84,95%,effort everybody provide organization answer line leg simply might business.
s06871,arabic,73,80%,No comment
s06212,science,53,0%,according strategy trouble inside start add.
s11259,geography,100,0%,image floor sort same ball political realize.
s10286,math,68,90%,No comment
s02953,arabic,68,80%,involve among draw turn those anyone human can change list middle.
s11449,geography,100,95%,skin from majority project have their save anyone explain year.
s06583,history,100,80%,safe talk animal deep wide court cost.
s05210,geography,82,80%,avoid girl vote decide require side brother arrive off far design task.
s05373,arabic,50,100%,realize in reveal account case crime pressure word follow he send time.
s02873,arabic,100,100%,within who off history front him goal hold wind bring arm.
s12055,history,52,95%,relationship political herself coach media purpose kind much picture product number close present.
s11821,history,59,95%,No comment
s08915,english,98,80%,some type tough however growth attack receive main discussion center remain.
s04886,science,97,0%,oil speak example easy right detail example although between line serve soon.
s10642,geography,71,80%,scientist yes challenge product describe may air subject meet card still require.
s11314,math,95,80%,No comment
s06032,science,90,0%,crime face type produce interesting prepare part media whatever free agency.
s00659,geography,42,0%,child my movement laugh gas company computer fill office charge today.
s05220,geography,40,80%,write condition live next concern test imagine away.
s08154,english,55,0%,friend prove then live certainly even movement final seat skin television.
s00354,math,73,90%,final prevent vote plan their better teach mouth parent conference reason sport also.
s09206,geography,65,95%,meeting third thank figure baby order wear bar cover person season research fly.
s02287,english,41,0%,the walk work impact truth produce.
s08509,arabic,68,80%,under name daughter fear stuff economic national spend where way.
s10184,science,80,100%,help different entire leader everybody bring available present option program.
s01860,science,94,90%,yourself unit ahead claim class chair feel beautiful box large.
s01417,geography,84,90%,whether out force next little set happen.
s09088,history,68,100%,concern early number pull until buy no maintain push statement wish education state likely.
s11824,arabic,90,80%,describe dog only decade base add activity give knowledge read decide.
s02351,english,100,90%,No comment
s03476,english,82,0%,nation more any group manage positive director.
s00499,science,69,100%,political land hot throw box imagine want anything around issue.
s01167,geography,79,80%,out receive of likely agreement community rate practice camera itself teacher think partner election.
s01617,geography,47,90%,live action resource daughter ball hope see partner today into.
s07336,geography,63,0%,administration she section hot clear rule.
s06563,science,63,95%,style authority music foot radio already start perhaps baby build.
s10468,math,51,95%,resource big produce determine himself best participant high big right.
s08105,english,45,95%,out traditional prepare eat close social produce exist someone laugh spring key if.
s04045,history,100,90%,we party draw structure like partner line.
s01448,science,66,0%,property anyone bank enter remember gas.
s06237,science,75,95%,star difference organization forward since style possible decision life window rather car.
s07841,math,78,95%,catch start represent old rock defense look field perform specific suddenly edge final.
s01010,science,78,90%,executive remain moment they week around story region.
s02044,english,84,0%,step through agree occur good most.
s07917,science,44,100%,her skin trouble already what quite never seven fall adult forward.
s00407,history,87,80%,level opportunity why pm people human challenge within music free example.
s02419,arabic,58,90%,pretty bill current what born responsibility friend success do.
s07653,geography,48,90%,responsibility usually cell perform ground rule within region red recognize.
s07389,geography,100,100%,shoulder about remember remember remain occur watch study study able rule perhaps.
s06152,history,53,95%,ability field subject this argue value people them season break create image.
s07674,english,62,90%,toward recent result explain job service.
s06353,science,54,95%,here eight effort nearly race subject least.
s08377,math,43,90%,line himself for there exactly remain seek avoid.
s01542,arabic,79,80%,military social professor accept test see tell.
s03435,arabic,89,95%,worry front likely amount in word tax evidence certainly because.
s08852,history,56,100%,ability say manager claim grow stand.
s11901,arabic,67,80%,last energy safe much at here form generation me memory.
s10745,english,100,80%,loss hair entire manage wear cause best agreement.
s03947,science,50,95%,No comment
s06373,english,50,95%,all base technology travel health may outside hour camera adult.
s04791,science,76,95%,include paper some south significant identify professional.
s08852,english,62,100%,store edge bar visit itself wish rest section source.
s04247,arabic,89,0%,smile whole authority operation near spring hope voice dog join.
s10031,science,72,100%,partner current class environmental think represent indeed magazine government campaign.
s01174,math,66,80%,risk citizen public certain manage first firm.
s07224,geography,81,80%,tell take when attack but purpose side agent.
s02912,math,85,80%,pass service consumer program drop issue.
s03211,math,43,90%,event truth child open return physical many he avoid.
s06279,english,84,100%,figure night something year make key whole seem kind team red across finish any.
s02338,math,68,0%,catch past wish style among security on dog yes.
s02733,geography,99,95%,No comment
s03968,science,59,95%,No comment
s00821,english,58,95%,very represent hair believe behavior world fly too anything wind.
s10802,math,100,100%,when character use enjoy three not character quality language.
s00478,arabic,87,95%,right information shake lose believe both sort every serious position mouth bad song.
s03567,history,76,0%,candidate better position represent whose case put responsibility assume respond change smile gun interesting.
s11185,science,43,95%,center assume six produce everyone place operation end sing early service different.
s07295,history,68,90%,tonight treatment summer serious writer degree else.
s08425,math,100,95%,No comment
s00034,history,84,80%,statement sister break year so prevent provide space expect now executive.
s04788,english,100,100%,No comment
s09444,arabic,69,0%,No comment
s07926,english,62,100%,many simple along hotel year head father goal different policy.
s01540,history,95,90%,No comment
s09824,arabic,43,0%,defense as sell successful hundred collection half join bill force no box.
s10728,math,52,0%,investment service matter modern position exactly plan right course son.
s02654,science,100,100%,guess amount former know play collection score through he quite popular east able.
s00340,math,46,90%,make voice her body think investment imagine stay republican similar sense student.
s09377,math,47,90%,low evening purpose scene establish day professional.
s00011,math,48,80%,put last republican source fast military similar.
s11332,arabic,51,90%,open interesting father marriage start money so scientist.
s01804,english,81,0%,mention page piece who prove four purpose.
s05276,history,52,100%,ago we senior until turn study.
s05900,english,49,0%,sport include whether bad guess organization see relationship ago.
s06097,geography,46,90%,agent second laugh what southern style.
s05374,english,94,95%,material wear pretty the take organization.
s08949,science,45,90%,knowledge public future travel game think together car attention.
s07803,english,69,0%,data product what local stay building million against action.
s09506,science,72,95%,sound bed scientist list hold consumer measure interesting couple find.
s09556,history,94,0%,No comment
s02262,science,91,0%,dog federal meet certain thank property wife on police institution economic possible simple.
s02847,history,40,90%,No comment
s05223,geography,70,100%,No comment
s11409,history,71,0%,wall federal late mission claim under around act wish man.
s12153,math,55,95%,activity man our make every want art far join government method reflect.
s05044,geography,94,90%,without radio myself source firm so goal ready hard usually up suffer certain.
s05812,geography,48,95%,officer rather congress top together enjoy test exactly accept affect professional serve important.
s05463,science,43,0%,director now blue without citizen identify.
s06661,geography,84,100%,the discuss five about special more.
s03639,arabic,49,90%,fast design pressure step bank more product present present successful i short.
s10778,history,62,90%,field where north exactly scientist each shoulder daughter fast ago pretty situation.
s01683,arabic,100,0%,along miss own coach issue strong apply allow size base.
s02567,math,100,90%,you generation minute product open live treat without week enough.
s08818,geography,59,0%,fact care movie teach water pressure thing.
s07872,geography,41,80%,No comment
s03512,arabic,51,90%,plant professional foot international stand mention economic.
s02558,arabic,62,100%,republican move campaign its relationship modern onto camera defense stock century agree pretty.
s00531,math,67,80%,set move turn place serious sport admit heart past fly determine claim on.
s02991,arabic,82,95%,listen receive star performance necessary more night finally.
s06636,history,91,95%,senior board exactly sea here participant activity option service.
s01750,science,68,90%,sound federal worry great money audience administration cause begin technology.
s10298,arabic,49,0%,ability language note cell north across world.
s00786,history,83,80%,fear manage game each wear tv perform season trial by.
s03190,math,78,80%,century stay feeling live event other approach bill.
s09170,arabic,45,90%,capital approach scene difficult wind receive contain.
s10689,science,87,90%,less model central exist change far character boy shake water draw radio.
s01760,english,83,100%,No comment
s12119,english,56,80%,force however cultural short direction last doctor.
s04413,science,89,95%,reveal wonder investment history maybe service region place future eye great mrs.
s00139,science,74,100%,although wife former medical teach most bill center music officer those.
s05987,arabic,72,100%,town picture hear degree movie with final individual bar down although.
s05583,arabic,57,0%,measure without audience debate subject least anything involve.
s05897,history,45,95%,property condition occur smile around behavior.
s08918,english,73,80%,over available relate personal often sure man third bill.
s06241,math,47,100%,benefit personal hand front animal those floor between short question effect.
s07556,geography,73,95%,No comment
s02427,english,66,100%,vote good your most right same just especially today debate he practice.
s07878,arabic,40,95%,No comment
s01665,arabic,85,95%,No comment
s11951,english,94,90%,half place near ever event put plant.
s02591,arabic,100,95%,action your against budget eight throw partner similar rock short they change but.
s08022,math,88,0%,economy guess budget pm growth everyone account lose health smile moment.
s02698,math,88,80%,people detail eight none fight anyone discover mission improve.
s03801,geography,50,80%,imagine always among summer consider stand four.
s08067,math,65,100%,particular seven reduce forget job direction employee kitchen minute house training ahead.
s07114,arabic,85,90%,difficult unit allow program than life box same area wish eight.
s09787,math,100,0%,answer blue collection seven beautiful until response meet political attack movement ground nearly.
s11617,english,100,80%,act night unit conference current own white sing compare middle human after.
s05185,english,49,0%,No comment
s03942,science,54,95%,common hold theory military him work.
s02828,science,100,0%,reason rise wind lose art apply i nor they blood notice.
s04592,math,69,90%,level major while state hit right security act people.
s02208,geography,50,90%,question as idea black american power old but evidence create her.
s06339,math,76,80%,miss teach miss very bit concern myself information.
s01771,history,49,80%,congress and whole from three someone material draw meeting raise sing.
s07696,science,46,100%,father city social floor support learn pay green.
s01960,science,77,90%,shake study others any also current military plant teacher cause film catch.
s03602,math,50,80%,No comment
s03895,arabic,78,90%,No comment
s03648,geography,100,100%,body easy south agent their meeting phone.
s07442,math,73,0%,No comment
s00548,arabic,81,80%,hope finally white mrs activity public example develop manage in type top five.
s05918,math,90,100%,practice meet drug represent every whom never into somebody or catch wait eye.
s00134,english,100,0%,something structure future good responsibility sure notice customer.
s01810,math,98,90%,despite along onto protect moment wide important mind fire about election film.
s05431,science,89,95%,culture two blood why allow vote politics learn.
s06113,history,98,80%,beyond couple ok light administration such still song consider player idea treat thousand.
s02336,math,63,80%,brother her indeed along alone five write home collection at.
s09184,english,61,100%,mr everybody trip certain fact natural election support all general decision expert yet.
s00955,science,48,0%,character outside who book something become bed its.
s04360,science,100,80%,No comment
s04070,science,88,100%,kitchen next wide speak history third recent wonder behavior other.
s01885,science,87,0%,No comment
s07620,arabic,100,100%,carry eye evidence value lawyer through director.
s06270,arabic,64,0%,see risk people public technology decade news set more worry choice must.
s09644,science,89,80%,civil probably pretty hear though check as single now again head.
s02714,science,72,0%,management human car old art wide listen fire section change.
s10231,arabic,100,95%,be treat modern evening possible cup fine daughter light cup.
s03755,english,58,80%,could wife sing less discussion type box.
s07666,science,58,0%,community use western fly audience allow improve stage environmental.
s11499,arabic,100,90%,No comment
s03286,geography,60,95%,money summer recent particularly meet easy by property.
s10897,math,100,100%,hospital again join unit bring blue.
s05380,science,83,0%,community already term by interview take lot behind loss voice poor something unit.
s03181,history,98,80%,so head improve piece force morning director.
s03905,science,50,90%,hope child treat morning which market ever break argue.
s02139,science,68,80%,share bad part behavior customer time live.
s09127,science,100,90%,dog fast them oil important rule.
s11814,science,81,100%,head small owner single resource face data improve.
s01666,science,53,0%,stay these she raise girl reality the.
s11510,arabic,93,0%,success hit energy mean house avoid buy.
s02590,arabic,50,0%,traditional player long indeed skin situation necessary attack fire fact next local personal.
s05570,english,100,100%,No comment
s03368,arabic,63,80%,safe hope free what argue sister begin opportunity race nothing than.
s11949,history,50,95%,run fast reason interview partner kid their.
s01146,english,50,0%,address large black report beat after remember end.
s01850,geography,81,80%,opportunity start focus reason first project same management manage fill program reason artist.
s06368,arabic,78,90%,least current degree need recognize describe method some.
s07499,history,99,95%,spring concern reduce born movement discuss training fund get us.
s04020,math,42,0%,No comment
s07002,history,66,95%,ask dark begin east former international fine yet pick in hard.
s03733,geography,100,80%,whose eye executive card change participant street knowledge every newspaper leave important.
s03958,science,100,0%,bit staff affect reach hard fact owner color economic either charge system.
s04599,history,100,95%,story environmental over across way everyone stand stage claim professor country story others.
s02242,geography,72,0%,south guess loss dream word defense business model forward fill economy ten.
s01751,geography,84,80%,No comment
s03689,math,86,90%,suggest hot third myself total two like their two perform smile live.
s06515,science,83,80%,No comment
s08237,math,100,95%,on order simple people enough technology until blood bar fact interesting.
s09070,science,88,80%,mean spring minute economic republican people change outside say matter sometimes difficult well.
s00543,math,99,80%,worker there everybody here yeah catch treatment culture ahead movement individual will.
s05052,geography,46,95%,pay left town method evidence general these manage may actually edge show air.
s10878,math,82,95%,measure human writer list long particular record oil woman short all apply race.
s08486,english,53,90%,make lot marriage fact three actually.
s05611,science,82,0%,stuff sea public sport action structure.
s05041,english,94,80%,return child later brother employee exactly tax simply structure city.
s05606,math,67,0%,No comment
s11392,history,62,95%,realize player number past allow or catch less education space mean head.
s11077,math,100,0%,same bill research team only man data first ever decide face.
s00358,math,51,90%,fund about color go continue per everyone always animal behind speak case popular.
s03408,arabic,87,95%,smile its heavy claim field herself process night might possible treatment.
s04913,english,70,0%,production pay government prepare party six.
s11385,arabic,81,80%,recent stop administration treat artist agent leave owner majority.
s11265,math,84,95%,investment approach could line computer then ready.
s00228,arabic,91,90%,No comment
s11782,science,74,95%,No comment
s09829,history,49,100%,order whatever station once always trial care wife create charge whatever bring.
s05571,science,100,90%,international for success reality citizen bar economic protect main measure.
s03170,arabic,100,100%,garden the skin course ever way might woman daughter.
s09562,history,74,100%,team share statement week nearly line.
s09001,geography,53,95%,No comment
s08644,english,100,100%,budget class fly believe office vote important doctor customer race sound.
s08083,arabic,69,80%,civil member significant price effect side night young safe certainly.
s07405,science,40,90%,factor close raise cost statement already interest suddenly.
s09618,geography,54,80%,body only would house gas sister.
s06312,arabic,57,80%,per accept follow yes pretty road hotel.
s01886,arabic,42,90%,work state player item close where choice animal.
s08543,history,100,100%,discuss gun glass heavy behind suddenly check task college these administration.
s09867,math,65,100%,No comment
s00143,history,46,90%,try congress others partner former pay research accept school single.
s09487,history,84,100%,No comment
s11821,geography,70,100%,pm blood skill crime nearly talk traditional result sense indeed attack receive administration.
s04707,math,100,95%,find tax everybody last focus enjoy measure some sometimes.
s06128,arabic,47,90%,claim increase answer size same age.
s02446,science,48,0%,section me everyone feeling responsibility hard others.
s06489,science,70,100%,drive bad section measure throw discussion little.
s00276,history,42,80%,more mrs me but far mind discussion everybody management threat size agency.
s08223,science,46,100%,them discussion month citizen series federal onto the.
s06616,english,57,95%,degree last summer day next past white agent join catch.
s05878,history,41,95%,through effect religious wish clear then more well from.
s07400,english,40,100%,once here deal level concern across everybody inside agent day both tough.
s01336,geography,59,95%,value easy floor religious activity memory.
s06696,geography,75,90%,factor level political still father else build.
s09343,science,45,0%,No comment
s12001,science,100,90%,bring nothing talk international car behavior leader i open per.
s08454,geography,63,90%,skin company painting increase different shake develop law chair tree.
s04242,math,52,90%,No comment
s00867,arabic,98,0%,simple foreign focus face focus technology.
s03804,geography,48,80%,growth water involve organization indeed next hear population partner seek certainly identify.
s02264,math,79,80%,return their push so someone power reality dark film why president.
s04962,geography,96,95%,as worry total provide keep chair interesting.
s03764,math,42,90%,could visit lot speak once suffer son rate national.
s10580,arabic,100,95%,No comment
s03624,history,84,100%,point nature sort senior message top.
s01395,science,53,100%,history at two eight training present more fly.
s01416,math,100,90%,any understand poor generation amount tough before customer she good message.
s07830,math,88,100%,of know somebody light leader through anyone paper.
s10899,arabic,44,90%,traditional public almost training pay fish color day.
s04167,math,53,90%,commercial tough practice start yes lose watch life lay book attack ten traditional.
s09782,science,100,100%,without anything plan much yourself listen former just coach alone.
s09149,science,62,100%,coach artist role relate travel so.
s08553,geography,77,95%,accept their loss they program tree might budget start chair.
s04391,geography,83,80%,likely miss condition drug keep when see back hotel bank.
s08846,science,97,80%,our girl would executive air stuff special just entire.
s03350,geography,79,95%,sort significant challenge cost occur study determine class ability.
s01685,geography,100,0%,of study professor simple far region way within share about.
s03347,math,79,100%,heavy treat wrong audience woman account boy fear style else.
s04068,science,100,100%,stock through arrive probably power along painting stage leader magazine position.
s03589,math,91,80%,feel next ever dog listen offer source environment cold.
s03265,history,57,90%,section product business develop at lot after debate give ok especially.
s08804,science,55,95%,decision nearly represent indeed last network no sign.
s10431,geography,99,95%,executive base less someone risk improve every everyone material.
s01260,arabic,59,95%,school with space write market since.
s02817,english,65,0%,participant west begin memory threat finally however officer feeling.
s04069,arabic,49,90%,No comment
s10701,geography,65,100%,both single color fact within couple.
s09496,math,98,80%,state give occur eight sense coach if country treat guy ask what.
s04900,math,100,100%,character meeting business officer between vote view body cell adult term still daughter.
s04413,science,90,80%,audience soldier task item wrong good because else hit produce draw guy case.
s09442,math,100,80%,activity discover identify long though to win husband.
s10958,math,57,80%,may light boy industry soon avoid upon make knowledge accept good.
s06769,english,93,0%,education look red president coach behavior spring.
s07865,math,71,100%,television something beat plant factor southern do need.
s11597,history,74,90%,item alone left time anything since house field give person.
s07678,history,65,95%,where quite government hour production around hand possible develop course blue anything name.
s08941,geography,61,0%,himself western nearly practice camera address bed.
s00601,history,100,0%,person commercial can six condition fast interview significant face financial quite yet nothing few.
s10793,geography,92,100%,artist party most vote news training response season.
s03913,geography,51,80%,No comment
s00030,english,81,100%,lead fire it city argue create old camera every.
s10771,history,90,100%,significant ten on well how consumer talk return support.
s01350,arabic,73,100%,right raise theory sign section two lose.
s09510,history,79,90%,page clear everyone daughter ever fall occur walk tough hit foreign glass before.
s07075,english,46,0%,No comment
s11515,geography,64,0%,move attention federal every country record hit if always listen.
s04135,history,100,80%,fall better open man tell animal check design once challenge.
s02313,english,44,90%,city attack would care reveal learn entire nothing pretty party new.
s02662,history,93,95%,No comment
s09103,science,96,95%,night table store each young eat government word amount as wind.
